trabajo_nombre,empresa,lugar_trabajo,tipo_empleo,link_empleo
Ayudante de Pastelería,Sottovoce,,Hace 19 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ayudante-de-pasteleria-en-belgrano-71C1FE28AC1ECABA61373E686DCF3405#lc=ListOffers-Score-11
Ejecutivos Comerciales para Imp. empresa de Medicina Prepaga / Zona Colegiales,ADN - Recursos Humanos,,Hace 19 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ejecutivos-comerciales-para-imp-empresa-de-medicina-prepaga-zona-colegiales-adn-recursos-humanos-ref-18740-en-colegiales-72FC30841771FC1961373E686DCF3405#lc=ListOffers-Score-12
Bachero / Lavacopas  CABA,Sottovoce,,Hace 19 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-bachero-lavacopas-caba-en-palermo-999051F2C73986BF61373E686DCF3405#lc=ListOffers-Score-13
Operario de ensamblado Zona Parque Patricios,ARCHLATAM,,Hace 19 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-operario-de-ensamblado-zona-parque-patricios-en-parque-patricios-1FC401395E14E42961373E686DCF3405#lc=ListOffers-Score-14
Vigilador/a,Cooperativa Solucionar  Ltda.,,Hace 19 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-vigiladora-zona-caba-en-san-nicolas-A06D038D93BF88E461373E686DCF3405#lc=ListOffers-Score-15
Analista Programador JAVA Sr.,Kaizen Recursos Humanos,"Capital Federal, Retiro",Hace 20 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-programador-java-sr-zona-microcentro-caba-en-retiro-35698F33280B96F361373E686DCF3405#lc=ListOffers-Score-16
vendedor/a eCommerce y ML,EVER INFORMATICA,"Capital Federal, Colegiales",Hace 20 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-vendedora-ecommerce-y-ml-preferimos-c-exp-en-informatica-en-colegiales-3B6607C17ABFB08561373E686DCF3405#lc=ListOffers-Score-17
Barman / Glück Cervecería San Telmo/ inauguración,Glück Cervecería,"Capital Federal, San Telmo",Hace 20 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-barman-gluck-cerveceria-san-telmo-inauguracion-con-experiencia-en-san-telmo-8A223A7A973FCED061373E686DCF3405#lc=ListOffers-Score-18
Operario/a de produccion de ensamble de computadoras,ARCHLATAM,,Hace 20 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-operarioa-de-produccion-de-ensamble-de-computadoras-zona-parque-patricios-en-parque-patricios-DE8AAB922D20071C61373E686DCF3405#lc=ListOffers-Score-19
Solutions Architect Microsoft,Solutix S.A. - [Soluciones de Recursos en TI],,Hace 20 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-solutions-architect-microsoft-p-compania-de-soluciones-it-en-palermo-E8C09B8C6E84C0F561373E686DCF3405#lc=ListOffers-Score-0
Personal de Limpieza,Madero Consultoria,"Capital Federal, Puerto Madero",Hace 20 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-personal-de-limpieza-fulltime-en-puerto-madero-A7A560856CACC8C861373E686DCF3405#lc=ListOffers-Score-1
Operador de Call Center (ART),Importante empresa del sector,"Capital Federal, Balvanera",Hace 20 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-operador-de-call-center-art-turno-tarde-en-balvanera-987B512E16FCBBF861373E686DCF3405#lc=ListOffers-Score-2
Analista contable en Munro,Adecco Argentina S.A.,,Hace 20 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-contable-en-munro-en-monserrat-A9563CAA30E67DE661373E686DCF3405#lc=ListOffers-Score-3
Gerente o Encargado de Locales Gastronómicos,Suple Servicio Empresario S.A.,,Hace 20 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-gerente-o-encargado-de-locales-gastronomicos-zona-chacarita-villa-crespo-en-san-nicolas-F064C0DE143771F761373E686DCF3405#lc=ListOffers-Score-4
Técnico/a de Mantenimiento con habilidades comerciales (La Plata),Verisure Argentina,"Capital Federal, Palermo",Hace 21 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnicoa-de-mantenimiento-con-habilidades-comerciales-la-plata-en-palermo-43E99511ABCFBB3D61373E686DCF3405#lc=ListOffers-Score-5
Supervisor monitoreo,Entheus Seguridad Privada,"Capital Federal, Almagro",Hace 21 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-supervisor-monitoreo-en-almagro-00C112A7D6C3685D61373E686DCF3405#lc=ListOffers-Score-6
Vigilador/a,Cooperativa Solucionar  Ltda.,,Hace 21 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-vigiladora-zona-caba-en-san-nicolas-A5BD3D5144C9A75361373E686DCF3405#lc=ListOffers-Score-7
Médico Clínico. Viernes 8 a 20hs. Clínica de Rehabilitación Neurológica de Alta Complejidad,PLC - Proyecto Laboral Consultores,,Hace 21 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-medico-clinico-viernes-8-a-20hs-clinica-de-rehabilitacion-neurologica-de-alta-complejidad-importante-clinica-de-rehabilitacion-neurologica-caba-en-san-cristobal-329CD06FBB46CC0B61373E686DCF3405#lc=ListOffers-Score-8
Técnico/a Instalador CABA (con habilidades de retención de clientes),Verisure Argentina,"Capital Federal, Palermo",Hace 21 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnicoa-instalador-caba-con-habilidades-de-retencion-de-clientes-en-palermo-28E24140D6E8058C61373E686DCF3405#lc=ListOffers-Score-9
secretaria comercial ventas,Grupo84,"Capital Federal, Almagro",Hace 21 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-secretaria-comercial-ventas-vendedora-en-almagro-1582694A2568014D61373E686DCF3405#lc=ListOffers-Score-10
CDC Personal de Depósito,Grupo Gestión,,Hace 21 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cdc-personal-de-deposito-villa-soldati-en-villa-soldati-B29DE7F8760328F161373E686DCF3405#lc=ListOffers-Score-11
importante empresa del sector automotriz incorpora vendedoras de salon,Grupo84,"Capital Federal, Puerto Madero",Hace 21 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-importante-empresa-del-sector-automotriz-incorpora-vendedoras-de-salon-volskwagen-y-renault-argentina-en-puerto-madero-267DE1DAC5BDFD8661373E686DCF3405#lc=ListOffers-Score-12
"Bachero para Hotel 4 estrellas en Recoleta, turno tarde",Pro-Selection Capital Humano,"Capital Federal, Balvanera",Hace 21 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-bachero-para-hotel-4-estrellas-en-recoleta-turno-tarde-en-balvanera-52ED2B59786F65E261373E686DCF3405#lc=ListOffers-Score-13
Administrador Microsoft Intune,Synchro Technologies S.A,"Capital Federal, Puerto Madero",Hace 21 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-administrador-microsoft-intune-en-puerto-madero-43FE4337B739089861373E686DCF3405#lc=ListOffers-Score-14
Analista de Soporte Tecnico / Soporte de Campo  BS AS,Grupo Intertron,,Hace 21 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-soporte-tecnico-soporte-de-campo-bs-as-chacarita-en-chacarita-387347177E1846C461373E686DCF3405#lc=ListOffers-Score-15
Desarrollador .Net Ssr,ADN - Recursos Humanos,,Hace 21 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-net-ssr-hibrido-recoleta-caba-en-recoleta-2A15E95136521C5861373E686DCF3405#lc=ListOffers-Score-16
Operador/a Comercial,Área IT,"Capital Federal, Parque Patricios",Hace 21 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-operadora-comercial-en-parque-patricios-16427D6B4A71F16061373E686DCF3405#lc=ListOffers-Score-17
Recepcionista,Bowers & Simmons S.A.,"Capital Federal, Palermo",Hace 21 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-recepcionista-bilingue-en-palermo-48E46EE36C1D8E7661373E686DCF3405#lc=ListOffers-Score-18
Analista Implementador Odoo en Palermo,Pro-Selection Capital Humano,"Capital Federal, Palermo",Hace 22 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-implementador-odoo-en-palermo-en-palermo-91F1B0F6F848735461373E686DCF3405#lc=ListOffers-Score-19
Operador de Cobranzas,Verisure Argentina,"Capital Federal, Palermo",Hace 22 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-operador-de-cobranzas-finanzas-en-palermo-C8867BEB45649E1161373E686DCF3405#lc=ListOffers-Score-0
Recepcionista/Front desk Ref. 18432,ADN - Recursos Humanos,,Hace 22 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-recepcionistafront-desk-ref-18432-villa-pueyrredon-en-villa-pueyrredon-1606BFE8EA59702C61373E686DCF3405#lc=ListOffers-Score-1
Ref 18775 Project Manager Ingeniería,ADN - Recursos Humanos,,Hace 22 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ref-18775-project-manager-ingenieria-villa-del-parque-en-villa-del-parque-D29613B694C879EE61373E686DCF3405#lc=ListOffers-Score-2
ADN Ref. 18735: Vendedor Preventista de Snacks Canal Mayorista,ADN - Recursos Humanos,,Hace 22 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-adn-ref-18735-vendedor-preventista-de-snacks-canal-mayorista-part-time-en-constitucion-BAFD39F94334DE3461373E686DCF3405#lc=ListOffers-Score-3
Cocinero/a,IMPORTANTE LOCAL GASTRONÓMICO,"Capital Federal, Puerto Madero",Hace 22 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cocineroa-en-puerto-madero-941B2C891E855BDC61373E686DCF3405#lc=ListOffers-Score-4
Analista de Liquidación de Sueldos Jr,Gestion Compartida,,Hace 22 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-liquidacion-de-sueldos-jr-en-parque-patricios-7B5377EB5126646461373E686DCF3405#lc=ListOffers-Score-5
Telemarketer para Cobranzas,Cat-Technologies,,Hace 22 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-telemarketer-para-cobranzas-en-monserrat-0594513118E652BB61373E686DCF3405#lc=ListOffers-Score-6
Mucamas Eventuales para Hotelería   Zona CABA,Ceta Capital Humano,,Hace 22 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-mucamas-eventuales-para-hoteleria--zona-caba-en-monserrat-4395EA7C875716A561373E686DCF3405#lc=ListOffers-Score-7
Analista JR  Administración de RRHH,Grupo Gestión,,Hace 22 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-jr-administracion-de-rrhh-en-palermo-94E4DCB59B8BD70461373E686DCF3405#lc=ListOffers-Score-8
Coordinador/a Enfermería,Atenuar SRL,"Capital Federal, Almagro",Hace 22 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-coordinadora-enfermeria-empresa-de-internacion-domiciliaria-en-almagro-14618B43D578A20661373E686DCF3405#lc=ListOffers-Score-9
comunity manager,VIPeluqueria's,,Hace 22 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-comunity-manager-diseno-grafico-en-caballito-4F52FFDB0F3637DB61373E686DCF3405#lc=ListOffers-Score-10
médico/a,FisicalCheck,"Capital Federal, San Nicolás",Hace 22 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-medicoa-medicoa-matriculado-en-caba-en-san-nicolas-B5192F9F4D55C07E61373E686DCF3405#lc=ListOffers-Score-11
Técnico en mantenimiento,HUESO BEATRIZ DIAMELA,"Capital Federal, Constitución",Hace 22 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-en-mantenimiento-turno-manana-tarde-y-noche-con-experiencia-en-constitucion-D7BBF7E20FD4427661373E686DCF3405#lc=ListOffers-Score-12
Administrativo/a de ventas desregulación medicina prepaga,Orion Consulting,"Capital Federal, Puerto Madero",Hace 22 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-administrativo-de-ventas-desregulacion-medicina-prepaga-virtual-6hs-de-8-a-14-o-14-a-20hs-en-puerto-madero-543370C316306E7161373E686DCF3405#lc=ListOffers-Score-13
Mozo de salón,La Palita,"Capital Federal, Balvanera",Hace 22 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-mozo-de-salon-zona-caba-en-balvanera-B01C7E6E15F9C71D61373E686DCF3405#lc=ListOffers-Score-14
Ayudante de cocina,La Palita,"Capital Federal, Balvanera",Hace 22 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ayudante-de-cocina-zona-caba-en-balvanera-59CCE1605CD6EECF61373E686DCF3405#lc=ListOffers-Score-15
Cajero/Encargado,La Palita,"Capital Federal, Balvanera",Hace 22 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cajeroencargado-zona-caba-en-balvanera-1AD1826D9DD3F32C61373E686DCF3405#lc=ListOffers-Score-16
Asistente de compras,La Gauchita,"Capital Federal, Belgrano",Hace 22 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-comercial-en-belgrano-C4C76FAC3DCC2FEB61373E686DCF3405#lc=ListOffers-Score-17
Comercial con experiencia B2B,Integro,"Capital Federal, Mataderos",Hace 22 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-comercial-con-experiencia-b2b-caba-en-mataderos-046389FD0A3A49F761373E686DCF3405#lc=ListOffers-Score-18
Administrativo,Empresa pyme,"Capital Federal, Retiro",Hace 22 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-administrativo-en-retiro-94F156F14E8DDE2E61373E686DCF3405#lc=ListOffers-Score-19
Estudiante diseño gráfico,MicroBell S.A.,"Capital Federal, Villa Urquiza",Hace 22 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-estudiante-diseno-grafico-media-jornada-por-la-tarde-en-villa-urquiza-6064A54CACDE80A161373E686DCF3405#lc=ListOffers-Score-0
atención al cliente,Kiosco Barrio,"Capital Federal, Caballito",Hace 22 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-atencion-al-cliente-turno-tarde-y-turno-noche-en-caballito-363F200FFB3F19C261373E686DCF3405#lc=ListOffers-Score-1
Diseñador Gráfico,ALVAREZ LUCAS IGNACIO,"Capital Federal, Recoleta",Hace 22 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-disenador-grafico-freelance-en-recoleta-E29F1A15DC6EE05761373E686DCF3405#lc=ListOffers-Score-2
óptico/a contactologo,BREWDA CLAUDIO NORBERTO,"Capital Federal, San Nicolás",Hace 22 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-opticoa-contactologo-con-experiencia-en-san-nicolas-B637D54EE488D45761373E686DCF3405#lc=ListOffers-Score-3
Ejecutiva de ventas ECommerce,Limsis,"Capital Federal, Colegiales",Hace 22 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ejecutiva-de-ventas-ecommerce-para-fabricante-de-art-de-limpieza-en-colegiales-086CD3FA6B2E5E7E61373E686DCF3405#lc=ListOffers-Score-4
Cajero/a gastronomico,LA GAYOLA,"Capital Federal, San Nicolás",Hace 22 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cajeroa-gastronomico-maxirest-en-san-nicolas-2FF89B413AE318CD61373E686DCF3405#lc=ListOffers-Score-5
selector/a de personal,SUSHI CAÑITAS S.A.,"Capital Federal, Villa Crespo",Hace 22 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-selectora-de-personal-con-exp-perfiles-gastronomicos-en-villa-crespo-13924D9445028EFA61373E686DCF3405#lc=ListOffers-Score-6
franquera de personal de limpieza,La Barca Hotel,"Capital Federal, Balvanera",Hace 22 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-franquera-de-personal-de-limpieza-en-balvanera-41A8CD6B82127E7961373E686DCF3405#lc=ListOffers-Score-7
Vendedores y Encargados para local de indumentaria,ENDAVANT,"Capital Federal, Flores",Hace 22 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-vendedores-y-encargados-para-local-de-indumentaria-en-flores-A9EC0DEDCF6097E061373E686DCF3405#lc=ListOffers-Score-8
costurero/a,ALL DENIM SA,"Capital Federal, Floresta",Hace 22 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-costureroa-muestrista-en-floresta-FB30FBE68F8E134A61373E686DCF3405#lc=ListOffers-Score-9
Ayudante de cocina,DELIGUSTO S.R.L,"Capital Federal, Caballito",Hace 22 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ayudante-de-cocina-manana-y-tarde-noche-en-caballito-7DED38E155BC238861373E686DCF3405#lc=ListOffers-Score-10
Personal de Maestranza femenino  Zona CABA,Cerberus S.A.,,Hace 22 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-personal-de-maestranza-femenino-zona-caba-en-villa-devoto-8A90A89FFE73D9F161373E686DCF3405#lc=ListOffers-Score-11
Community manager,Grupo ABANS,,Hace 22 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-community-manager-caba-en-belgrano-108C114EA1A22D3061373E686DCF3405#lc=ListOffers-Score-12
Desarrollador .Net Core Ssr,Ecosistemas,,Hace 22 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-net-core-ssr-ref-3224-en-retiro-7C6008B90340D37961373E686DCF3405#lc=ListOffers-Score-13
encargado deposito,LA GAYOLA,"Capital Federal, San Nicolás",Hace 22 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-encargado-deposito-manana-en-san-nicolas-E67421CDC82E672A61373E686DCF3405#lc=ListOffers-Score-14
Analista Contable,DK Consultores SRL,"Capital Federal, Palermo",Hace 22 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-contable-con-perfil-impositivo-en-palermo-BE6B391CECFB769661373E686DCF3405#lc=ListOffers-Score-15
Contador Público,DK Consultores SRL,"Capital Federal, Palermo",Hace 22 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-contador-publico-para-auditoria-en-palermo-D89FE2DEAE1F26D661373E686DCF3405#lc=ListOffers-Score-16
chef cocinero,Klub Polaco,"Capital Federal, Palermo",Hace 22 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-chef-cocinero-con-experiencia-y-contactos-de-referencias-en-palermo-0C0B7089269847A961373E686DCF3405#lc=ListOffers-Score-17
Analista Contable,MESSI JUAN PABLO,"Capital Federal, Palermo",Hace 22 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-contable-caba-palermo-chico-en-palermo-1A03A60FDF922F6961373E686DCF3405#lc=ListOffers-Score-18
cajero encargado,moulin express,"Capital Federal, Villa Lugano",Hace 22 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cajero-encargado-con-experiencia-en-villa-lugano-4E064606F446F64561373E686DCF3405#lc=ListOffers-Score-19
